Total Sales;$8.762.912;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Profit;$1.294.794;;;04.11.2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total Transactions;$6.227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date;Store Name;Region;Note;Store Type;Product Name;Product Category;Units Sold;Revenue;Profit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TREEMAP;;;
01.01.2020;Beverly Hills;Los Angeles;;Residential;Action Figure;Toys;63;$1.007;$378;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Region;Store;Product Category;Revenue
01.03.2021;Fifth Avenue;New York;;Commercial;Rubik's Cube;Games;29;$580;$58;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.03.2021;Fifth Avenue;New York;;Commercial;Splash Balls;Sports & Outdoors;176;$1.582;$176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.03.2021;Fifth Avenue;New York;;Commercial;Water Gun;Sports & Outdoors;9;$135;$27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.03.2021;Fifth Avenue;New York;;Commercial;Teddy Bear;Toys;5;$65;$10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.03.2021;Fifth Avenue;New York;;Commercial;Toy Robot;Electronics;14;$364;$70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;Beverly Hills;Los Angeles;;Residential;Action Figure;Toys;37;$592;$222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.04.2021;Beverly Hills;Los Angeles;;Residential;Animal Figures;Toys;11;$143;$33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.04.2021;Beverly Hills;Los Angeles;;Residential;Barrel O' Slime;Art & Crafts;173;$690;$346;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.04.2021;Beverly Hills;Los Angeles;;Residential;Classic Dominoes;Games;10;$100;$20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.04.2021;Beverly Hills;Los Angeles;;Residential;Dart Gun;Sports & Outdoors;34;$544;$136;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.04.2021;Beverly Hills;Los Angeles;;Residential;Deck Of Cards;Games;67;$468;$201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.04.2021;Beverly Hills;Los Angeles;;Residential;Dino Egg;Toys;14;$154;$14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.04.2021;Beverly Hills;Los Angeles;;Residential;Dinosaur Figures;Toys;20;$300;$80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.04.2021;Beverly Hills;Los Angeles;;Residential;Etch A Sketch;Art & Crafts;63;$1.322;$630;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.04.2021;Beverly Hills;Los Angeles;;Residential;Disk Launcher;Sports & Outdoors;36;$432;$108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.04.2021;Beverly Hills;Los Angeles;;Residential;Gamer Headset;Electronics;26;$546;$156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.04.2021;Beverly Hills;Los Angeles;;Residential;Glass Marbles;Games;32;$352;$160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.04.2021;Beverly Hills;Los Angeles;;Residential;Hot Wheels Pack;Toys;10;$60;$20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.04.2021;Beverly Hills;Los Angeles;;Residential;Jenga;Games;4;$40;$28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.04.2021;Beverly Hills;Los Angeles;;Residential;Lego Bricks;Toys;46;$1.840;$230;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.04.2021;Beverly Hills;Los Angeles;;Residential;Magic Sand;Art & Crafts;172;$2.750;$344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.04.2021;Beverly Hills;Los Angeles;;Residential;Mini Ping Pong;Sports & Outdoors;8;$80;$24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.04.2021;Beverly Hills;Los Angeles;;Residential;Monopoly;Games;6;$120;$36;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.04.2021;Beverly Hills;Los Angeles;;Residential;Mr. Potatohead;Toys;9;$90;$45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.04.2021;Beverly Hills;Los Angeles;;Residential;Nerf Gun;Sports & Outdoors;26;$520;$130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.04.2021;Beverly Hills;Los Angeles;;Residential;PlayDoh Can;Art & Crafts;48;$144;$48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.04.2021;Beverly Hills;Los Angeles;;Residential;PlayDoh Toolkit;Art & Crafts;14;$70;$14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.04.2021;Beverly Hills;Los Angeles;;Residential;Rubik's Cube;Games;70;$1.399;$140;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.04.2021;Beverly Hills;Los Angeles;;Residential;Splash Balls;Sports & Outdoors;26;$234;$26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.04.2021;Beverly Hills;Los Angeles;;Residential;Water Gun;Sports & Outdoors;21;$315;$63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.04.2021;Beverly Hills;Los Angeles;;Residential;Toy Robot;Electronics;4;$104;$20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.04.2021;Beverly Hills;Los Angeles;;Residential;Uno Card Game;Games;27;$216;$108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.04.2021;Hollywood;Los Angeles;;Commercial;Action Figure;Toys;51;$815;$306;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.04.2021;Hollywood;Los Angeles;;Commercial;Animal Figures;Toys;51;$662;$153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.04.2021;Hollywood;Los Angeles;;Commercial;Barrel O' Slime;Art & Crafts;201;$802;$402;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;Hollywood;Los Angeles;;Commercial;Colorbuds;Electronics;25;$375;$200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.04.2021;Hollywood;Los Angeles;;Commercial;Dart Gun;Sports & Outdoors;28;$448;$112;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.04.2021;Hollywood;Los Angeles;;Commercial;Deck Of Cards;Games;21;$147;$63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.04.2021;Hollywood;Los Angeles;;Commercial;Dino Egg;Toys;21;$231;$21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.04.2021;Hollywood;Los Angeles;;Commercial;Dinosaur Figures;Toys;4;$60;$16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.04.2021;Hollywood;Los Angeles;;Commercial;Etch A Sketch;Art & Crafts;40;$840;$400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.04.2021;Hollywood;Los Angeles;;Commercial;Disk Launcher;Sports & Outdoors;14;$168;$42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.04.2021;Hollywood;Los Angeles;;Commercial;Gamer Headset;Electronics;26;$546;$156;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.04.2021;Hollywood;Los Angeles;;Commercial;Glass Marbles;Games;30;$330;$150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.04.2021;Hollywood;Los Angeles;;Commercial;Hot Wheels Pack;Toys;3;$18;$6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.04.2021;Hollywood;Los Angeles;;Commercial;Kids Makeup Kit;Art & Crafts;34;$680;$204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.04.2021;Hollywood;Los Angeles;;Commercial;Magic Sand;Art & Crafts;124;$1.983;$248;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.04.2021;Hollywood;Los Angeles;;Commercial;Mini Ping Pong;Sports & Outdoors;30;$300;$90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.04.2021;Hollywood;Los Angeles;;Commercial;Mr. Potatohead;Toys;12;$120;$60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.04.2021;Hollywood;Los Angeles;;Commercial;Nerf Gun;Sports & Outdoors;49;$980;$245;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.04.2021;Hollywood;Los Angeles;;Commercial;PlayDoh Can;Art & Crafts;97;$290;$97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.04.2021;Hollywood;Los Angeles;;Commercial;PlayDoh Toolkit;Art & Crafts;34;$170;$34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.04.2021;Hollywood;Los Angeles;;Commercial;Rubik's Cube;Games;60;$1.199;$120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.04.2021;Hollywood;Los Angeles;;Commercial;Splash Balls;Sports & Outdoors;28;$252;$28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.04.2021;Times Square;New York;;Downtown;Action Figure;Toys;89;$1.423;$534;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.04.2021;Times Square;New York;;Downtown;Animal Figures;Toys;44;$572;$132;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.04.2021;Times Square;New York;;Downtown;Barrel O' Slime;Art & Crafts;305;$1.217;$610;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.04.2021;Times Square;New York;;Downtown;Chutes & Ladders;Games;19;$247;$57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.04.2021;Times Square;New York;;Downtown;Colorbuds;Electronics;93;$1.394;$744;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.04.2021;Times Square;New York;;Downtown;Dart Gun;Sports & Outdoors;37;$592;$148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.04.2021;Times Square;New York;;Downtown;Deck Of Cards;Games;80;$559;$240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.04.2021;Times Square;New York;;Downtown;Dino Egg;Toys;60;$659;$60;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.04.2021;Times Square;New York;;Downtown;Dinosaur Figures;Toys;96;$1.439;$384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.04.2021;Times Square;New York;;Downtown;Etch A Sketch;Art & Crafts;30;$630;$300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.04.2021;Times Square;New York;;Downtown;Disk Launcher;Sports & Outdoors;101;$1.211;$303;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;Times Square;New York;;Downtown;Gamer Headset;Electronics;57;$1.196;$342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
02.04.2021;Times Square;New York;;Downtown;Glass Marbles;Games;1;$11;$5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
03.04.2021;Times Square;New York;;Downtown;Hot Wheels Pack;Toys;64;$383;$128;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
04.04.2021;Times Square;New York;;Downtown;Lego Bricks;Toys;73;$2.919;$365;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
05.04.2021;Times Square;New York;;Downtown;Magic Sand;Art & Crafts;207;$3.310;$414;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
06.04.2021;Times Square;New York;;Downtown;Mini Ping Pong;Sports & Outdoors;13;$130;$39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
07.04.2021;Times Square;New York;;Downtown;Monopoly;Games;36;$720;$216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
08.04.2021;Times Square;New York;;Downtown;Mr. Potatohead;Toys;15;$150;$75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
09.04.2021;Times Square;New York;;Downtown;Nerf Gun;Sports & Outdoors;41;$820;$205;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10.04.2021;Times Square;New York;;Downtown;PlayDoh Can;Art & Crafts;435;$1.301;$435;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11.04.2021;Times Square;New York;;Downtown;PlayDoh Playset;Art & Crafts;11;$275;$44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12.04.2021;Times Square;New York;;Downtown;PlayDoh Toolkit;Art & Crafts;6;$30;$6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13.04.2021;Times Square;New York;;Downtown;Rubik's Cube;Games;61;$1.219;$122;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14.04.2021;Times Square;New York;;Downtown;Splash Balls;Sports & Outdoors;81;$728;$81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.04.2021;Times Square;New York;;Downtown;Uno Card Game;Games;21;$168;$84;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16.04.2021;Millenium;Chicago;;Downtown;Action Figure;Toys;104;$1.663;$624;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17.04.2021;Millenium;Chicago;;Downtown;Animal Figures;Toys;58;$753;$174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18.04.2021;Millenium;Chicago;;Downtown;Barrel O' Slime;Art & Crafts;325;$1.297;$650;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19.04.2021;Millenium;Chicago;;Downtown;Classic Dominoes;Games;21;$210;$42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20.04.2021;Millenium;Chicago;;Downtown;Dart Gun;Sports & Outdoors;60;$959;$240;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.04.2021;Millenium;Chicago;;Downtown;Deck Of Cards;Games;162;$1.132;$486;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22.04.2021;Millenium;Chicago;;Downtown;Dino Egg;Toys;201;$2.209;$201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23.04.2021;Millenium;Chicago;;Downtown;Etch A Sketch;Art & Crafts;19;$399;$190;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24.04.2021;Millenium;Chicago;;Downtown;Disk Launcher;Sports & Outdoors;14;$168;$42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25.04.2021;Millenium;Chicago;;Downtown;Gamer Headset;Electronics;43;$903;$258;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26.04.2021;Millenium;Chicago;;Downtown;Glass Marbles;Games;30;$330;$150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27.04.2021;Millenium;Chicago;;Downtown;Hot Wheels Pack;Toys;22;$132;$44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28.04.2021;Millenium;Chicago;;Downtown;Jenga;Games;11;$110;$77;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.04.2021;Millenium;Chicago;;Downtown;Kids Makeup Kit;Art & Crafts;53;$1.059;$318;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.04.2021;Millenium;Chicago;;Downtown;Lego Bricks;Toys;70;$2.799;$350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;Millenium;Chicago;;Downtown;Magic Sand;Art & Crafts;202;$3.230;$404;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;Millenium;Chicago;;Downtown;Basketball Hoop;Sports & Outdoors;4;$100;$64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;Millenium;Chicago;;Downtown;Mini Ping Pong;Sports & Outdoors;34;$340;$102;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;Millenium;Chicago;;Downtown;Monopoly;Games;3;$60;$18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;Millenium;Chicago;;Downtown;Mr. Potatohead;Toys;62;$619;$310;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;Millenium;Chicago;;Downtown;Nerf Gun;Sports & Outdoors;88;$1.759;$440;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;Millenium;Chicago;;Downtown;PlayDoh Can;Art & Crafts;201;$601;$201;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;Millenium;Chicago;;Downtown;PlayDoh Toolkit;Art & Crafts;62;$309;$62;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;Millenium;Chicago;;Downtown;Plush Pony;Toys;22;$440;$242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;Millenium;Chicago;;Downtown;Rubik's Cube;Games;59;$1.179;$118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;Millenium;Chicago;;Downtown;Splash Balls;Sports & Outdoors;42;$378;$42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;Millenium;Chicago;;Downtown;Water Gun;Sports & Outdoors;3;$45;$9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;Millenium;Chicago;;Downtown;Teddy Bear;Toys;23;$299;$46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;Millenium;Chicago;;Downtown;Uno Card Game;Games;10;$80;$40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;LAX;Los Angeles;;Airport;Action Figure;Toys;125;$1.999;$750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;LAX;Los Angeles;;Airport;Animal Figures;Toys;21;$273;$63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;LAX;Los Angeles;;Airport;Barrel O' Slime;Art & Crafts;274;$1.093;$548;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;LAX;Los Angeles;;Airport;Colorbuds;Electronics;80;$1.199;$640;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;LAX;Los Angeles;;Airport;Dart Gun;Sports & Outdoors;59;$943;$236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;LAX;Los Angeles;;Airport;Deck Of Cards;Games;56;$391;$168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;LAX;Los Angeles;;Airport;Dino Egg;Toys;124;$1.363;$124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;LAX;Los Angeles;;Airport;Dinosaur Figures;Toys;97;$1.454;$388;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;LAX;Los Angeles;;Airport;Etch A Sketch;Art & Crafts;66;$1.385;$660;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;LAX;Los Angeles;;Airport;Disk Launcher;Sports & Outdoors;25;$300;$75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;LAX;Los Angeles;;Airport;Glass Marbles;Games;79;$868;$395;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;LAX;Los Angeles;;Airport;Hot Wheels Pack;Toys;13;$78;$26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;LAX;Los Angeles;;Airport;Jenga;Games;2;$20;$14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;LAX;Los Angeles;;Airport;Kids Makeup Kit;Art & Crafts;12;$240;$72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;LAX;Los Angeles;;Airport;Lego Bricks;Toys;110;$4.399;$550;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;LAX;Los Angeles;;Airport;Magic Sand;Art & Crafts;238;$3.806;$476;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;LAX;Los Angeles;;Airport;Nerf Gun;Sports & Outdoors;22;$440;$110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;LAX;Los Angeles;;Airport;PlayDoh Can;Art & Crafts;204;$610;$204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;LAX;Los Angeles;;Airport;PlayDoh Playset;Art & Crafts;20;$500;$80;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;LAX;Los Angeles;;Airport;PlayDoh Toolkit;Art & Crafts;46;$230;$46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;LAX;Los Angeles;;Airport;Plush Pony;Toys;13;$260;$143;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;LAX;Los Angeles;;Airport;Rubik's Cube;Games;80;$1.599;$160;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;LAX;Los Angeles;;Airport;Splash Balls;Sports & Outdoors;63;$566;$63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;LAX;Los Angeles;;Airport;Teddy Bear;Toys;13;$169;$26;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;LAX;Los Angeles;;Airport;Toy Robot;Electronics;53;$1.377;$265;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;O'Hare;Chicago;;Airport;Action Figure;Toys;93;$1.487;$558;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;O'Hare;Chicago;;Airport;Animal Figures;Toys;112;$1.455;$336;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;O'Hare;Chicago;;Airport;Barrel O' Slime;Art & Crafts;221;$882;$442;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;O'Hare;Chicago;;Airport;Colorbuds;Electronics;196;$2.938;$1.568;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;O'Hare;Chicago;;Airport;Dart Gun;Sports & Outdoors;23;$368;$92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;O'Hare;Chicago;;Airport;Deck Of Cards;Games;316;$2.209;$948;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;O'Hare;Chicago;;Airport;Dino Egg;Toys;97;$1.066;$97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;O'Hare;Chicago;;Airport;Etch A Sketch;Art & Crafts;45;$945;$450;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;O'Hare;Chicago;;Airport;Disk Launcher;Sports & Outdoors;88;$1.055;$264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;O'Hare;Chicago;;Airport;Gamer Headset;Electronics;109;$2.288;$654;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;O'Hare;Chicago;;Airport;Glass Marbles;Games;81;$890;$405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;O'Hare;Chicago;;Airport;Hot Wheels Pack;Toys;58;$347;$116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;O'Hare;Chicago;;Airport;Jenga;Games;44;$440;$308;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;O'Hare;Chicago;;Airport;Kids Makeup Kit;Art & Crafts;33;$660;$198;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;O'Hare;Chicago;;Airport;Lego Bricks;Toys;54;$2.159;$270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;O'Hare;Chicago;;Airport;Magic Sand;Art & Crafts;252;$4.029;$504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;O'Hare;Chicago;;Airport;Mini Ping Pong;Sports & Outdoors;47;$470;$141;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;O'Hare;Chicago;;Airport;Mr. Potatohead;Toys;13;$130;$65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;O'Hare;Chicago;;Airport;Nerf Gun;Sports & Outdoors;111;$2.219;$555;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.04.2021;O'Hare;Chicago;;Airport;PlayDoh Can;Art & Crafts;295;$882;$295;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
